,_id,choices,correct,correct_choice,expName,gameid,img_lure,img_sample,img_target,index,inputid,internal_node_id,iterationName,projName,response,rt,sessionID,stimulus,studyID,time_elapsed,trial_index,trial_type,userID
10,639b975f8c4fcd3ab5d82bc1,"['https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/13_4_18/random/5.png', 'https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/4_18_13/nonequtriangle/3.png']",True,1.0,class-project-0,4994-61393299-7f48-4fa5-8353-1a72c5bf644f,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/13_4_18/random/5.png,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/4_18_13/nonequtriangle/2.png,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/4_18_13/nonequtriangle/3.png,10.0,,0.0-14.0,iter_0,scenegraph-m2s,1,2697,,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/4_18_13/nonequtriangle/2.png,,70704,14,plugin-m2s-task,test
11,639b97628c4fcd3ab5d82bc2,"['https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/7_4_14/nonequtriangle/8.png', 'https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/14_7_4/nonequtriangle/8.png']",True,1.0,class-project-0,4994-61393299-7f48-4fa5-8353-1a72c5bf644f,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/7_4_14/nonequtriangle/8.png,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/14_7_4/nonequtriangle/7.png,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/14_7_4/nonequtriangle/8.png,11.0,,0.0-15.0,iter_0,scenegraph-m2s,1,2801,,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/14_7_4/nonequtriangle/7.png,,74517,15,plugin-m2s-task,test
12,639b97658c4fcd3ab5d82bc3,"['https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/5_11_4/line/7.png', 'https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/5_11_4/nonequtriangle/5.png']",True,1.0,class-project-0,4994-61393299-7f48-4fa5-8353-1a72c5bf644f,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/5_11_4/line/7.png,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/5_11_4/nonequtriangle/6.png,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/5_11_4/nonequtriangle/5.png,12.0,,0.0-16.0,iter_0,scenegraph-m2s,1,1748,,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/5_11_4/nonequtriangle/6.png,,77277,16,plugin-m2s-task,test
13,639b97688c4fcd3ab5d82bc4,"['https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/13_10_11/line/4.png', 'https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/4_10_7/line/1.png']",True,0.0,class-project-0,4994-61393299-7f48-4fa5-8353-1a72c5bf644f,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/4_10_7/line/1.png,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/13_10_11/line/5.png,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/13_10_11/line/4.png,13.0,,0.0-17.0,iter_0,scenegraph-m2s,0,1690,,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/13_10_11/line/5.png,,79980,17,plugin-m2s-task,test
14,639b976a8c4fcd3ab5d82bc5,"['https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/13_18_10/random/6.png', 'https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/12_5_2/line/7.png']",True,0.0,class-project-0,4994-61393299-7f48-4fa5-8353-1a72c5bf644f,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/12_5_2/line/7.png,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/13_18_10/random/7.png,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/13_18_10/random/6.png,14.0,,0.0-18.0,iter_0,scenegraph-m2s,0,1214,,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/13_18_10/random/7.png,,82211,18,plugin-m2s-task,test
15,639b976d8c4fcd3ab5d82bc6,"['https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/10_4_12/line/7.png', 'https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/12_10_4/line/6.png']",True,1.0,class-project-0,4994-61393299-7f48-4fa5-8353-1a72c5bf644f,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/10_4_12/line/7.png,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/12_10_4/line/2.png,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/12_10_4/line/6.png,15.0,,0.0-19.0,iter_0,scenegraph-m2s,1,1864,,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/12_10_4/line/2.png,,85087,19,plugin-m2s-task,test
16,639b97708c4fcd3ab5d82bc7,"['https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/2_7_10/random/8.png', 'https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/11_7_13/random/7.png']",True,0.0,class-project-0,4994-61393299-7f48-4fa5-8353-1a72c5bf644f,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/11_7_13/random/7.png,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/2_7_10/random/9.png,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/2_7_10/random/8.png,16.0,,0.0-20.0,iter_0,scenegraph-m2s,0,2091,,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/2_7_10/random/9.png,,88190,20,plugin-m2s-task,test
17,639b97758c4fcd3ab5d82bc8,"['https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/12_18_5/random/3.png', 'https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/10_2_18/random/6.png']",True,1.0,class-project-0,4994-61393299-7f48-4fa5-8353-1a72c5bf644f,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/12_18_5/random/3.png,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/10_2_18/random/3.png,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/10_2_18/random/6.png,17.0,,0.0-21.0,iter_0,scenegraph-m2s,1,3959,,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/10_2_18/random/3.png,,93161,21,plugin-m2s-task,test
18,639b97788c4fcd3ab5d82bc9,"['https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/12_18_11/random/1.png', 'https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/14_7_2/random/9.png']",True,1.0,class-project-0,4994-61393299-7f48-4fa5-8353-1a72c5bf644f,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/12_18_11/random/1.png,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/14_7_2/random/2.png,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/14_7_2/random/9.png,18.0,,0.0-22.0,iter_0,scenegraph-m2s,1,1740,,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/14_7_2/random/2.png,,95916,22,plugin-m2s-task,test
19,639b977b8c4fcd3ab5d82bca,"['https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/18_13_5/nonequtriangle/9.png', 'https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/18_13_5/line/7.png']",True,1.0,class-project-0,4994-61393299-7f48-4fa5-8353-1a72c5bf644f,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/18_13_5/nonequtriangle/9.png,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/18_13_5/line/9.png,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/18_13_5/line/7.png,19.0,,0.0-23.0,iter_0,scenegraph-m2s,1,2846,,https://scenegraph-m2s-beth-aryan-class-project0.s3.amazonaws.com/18_13_5/line/9.png,,99771,23,plugin-m2s-task,test
